ID	name	source	formula	mass	charge	xrefs
MNXM1015	(R)-3-Ureidoisobutyrate	M_3uib_c;M_3uib_e	C5H9N2O3	145.13664	-1	keggC:C21029;CHEBI:1670;CHEBI:74414;bigg.metabolite:3uib;biggM:3uib;biggM:M_3uib;chebi:1670;chebi:74414;hmdb:HMDB0002031;hmdb:HMDB02031;kegg.compound:C05100;kegg.compound:C21029;keggC:C05100;keggC:M_C05100;keggC:M_C21029;metacyc.compound:3-UREIDO-ISOBUTYRATE;metacycM:3-UREIDO-ISOBUTYRATE;reactome:R-ALL-73617;reactomeM:R-ALL-73617;sabiork.compound:2926;sabiorkM:2926;seed.compound:cpd03034;seedM:M_cpd03034;seedM:cpd03034
MNXM1018	D-arabinitol	M_abt__D_c;M_abt__D_e	C5H12O5	152.14578	0	chebi:18333;CHEBI:18333;bigg.metabolite:abt__D;biggM:M_abt__D;biggM:abt__D;chebi:12912;chebi:20916;chebi:4105;hmdb:HMDB0000568;hmdb:HMDB00568;kegg.compound:C01904;keggC:C01904;keggC:M_C01904;metacyc.compound:CPD-355;metacycM:CPD-355;sabiork.compound:2333;sabiorkM:2333;seed.compound:cpd01307;seedM:M_cpd01307;seedM:cpd01307
MNXM1021	glutarate	M_glutar_c;M_glutar_e	C5H6O4	130.09874	-2	chebi:30921;CHEBI:17859;CHEBI:24329;CHEBI:30921;CHEBI:35907;SLM:000389477;bigg.metabolite:glutar;biggM:M_glutar;biggM:glutar;chebi:14322;chebi:17859;chebi:24327;chebi:24329;chebi:24330;chebi:30922;chebi:35906;chebi:35907;chebi:43097;chebi:5434;envipath:5882df9c-dae1-4d80-a40e-db4724271456/compound/be5d9659-482e-4ea5-b17e-fc2b0ffccc58;envipathM:5882df9c-dae1-4d80-a40e-db4724271456/compound/be5d9659-482e-4ea5-b17e-fc2b0ffccc58;hmdb:HMDB0000661;hmdb:HMDB00661;kegg.compound:C00489;keggC:C00489;keggC:M_C00489;metacyc.compound:GLUTARATE;metacycM:GLUTARATE;sabiork.compound:2058;sabiorkM:2058;seed.compound:cpd00379;seedM:M_cpd00379;seedM:cpd00379;slm:000389477
MNXM1024	(R)-lipoamide	M_lpam_c;M_lpam_e;M_lpam_m	C8H15NOS2	205.34284	0	chebi:83094;CHEBI:17460;CHEBI:83094;bigg.metabolite:lpam;biggM:M_lpam;biggM:lpam;chebi:14518;chebi:17460;chebi:25055;chebi:6491;hmdb:HMDB0000962;hmdb:HMDB0006877;hmdb:HMDB0006950;hmdb:HMDB00962;hmdb:HMDB06877;hmdb:HMDB06950;kegg.compound:C00248;kegg.drug:D00048;keggC:C00248;keggC:M_C00248;keggD:D00048;keggD:M_D00048;lipidmaps:LMFA08010006;lipidmapsM:LMFA08010006;metacyc.compound:LIPOAMIDE;metacycM:LIPOAMIDE;reactome:R-ALL-29824;reactomeM:R-ALL-29824;sabiork.compound:1320;sabiorkM:1320;seed.compound:cpd00213;seedM:M_cpd00213;seedM:cpd00213
MNXM10267	5'-hydroxyomeprazole	M_5homeprazole_c;M_5homeprazole_e	C17H19N3O4S	361.41658	0	chebi:63840;CHEBI:63840;bigg.metabolite:5homeprazole;biggM:5homeprazole;biggM:M_5homeprazole;hmdb:HMDB0014010;hmdb:HMDB0061091;hmdb:HMDB14010;hmdb:HMDB61091;reactome:R-ALL-211944;reactomeM:R-ALL-211944
MNXM1037	5-guanidino-2-oxopentanoate	M_5g2oxpt_c;M_5g2oxpt_e;M_5g2oxpt_x	C6H11N3O3	173.16996	0	chebi:58489;CHEBI:18253;CHEBI:28116;CHEBI:58489;bigg.metabolite:5g2oxpt;biggM:5g2oxpt;biggM:M_5g2oxpt;chebi:12129;chebi:1249;chebi:18253;chebi:19740;chebi:20572;chebi:2060;chebi:28116;hmdb:HMDB0004225;hmdb:HMDB0006815;hmdb:HMDB04225;hmdb:HMDB06815;kegg.compound:C03771;keggC:C03771;keggC:M_C03771;metacyc.compound:CPD-824;metacycM:CPD-824;sabiork.compound:6844;sabiorkM:6844;seed.compound:cpd02364;seed.compound:cpd03528;seedM:M_cpd02364;seedM:M_cpd03528;seedM:cpd02364;seedM:cpd03528
MNXM1043	decanoate	M_dca_c;M_dca_e;M_dca_r	C10H19O2	171.25666	-1	chebi:27689;CHEBI:27689;CHEBI:30813;SLM:000000855;bigg.metabolite:dca;biggM:M_dca;biggM:dca;chebi:125804;chebi:23570;chebi:23572;chebi:30813;chebi:41906;chebi:4347;hmdb:HMDB0000511;hmdb:HMDB00511;kegg.compound:C01571;keggC:C01571;keggC:M_C01571;lipidmaps:LMFA01010010;lipidmapsM:LMFA01010010;metacyc.compound:CPD-3617;metacycM:CPD-3617;reactome:R-ALL-422019;reactome:R-ALL-879581;reactome:R-ALL-879620;reactomeM:R-ALL-422019;reactomeM:R-ALL-879581;reactomeM:R-ALL-879620;sabiork.compound:2296;sabiorkM:2296;seed.compound:cpd01107;seedM:M_cpd01107;seedM:cpd01107;slm:000000855
MNXM1057	(5-hydroxyindol-3-yl)acetaldehyde	M_5hoxindact_c	C10H9NO2	175.184	0	chebi:50157;CHEBI:50157;bigg.metabolite:5hoxindact;biggM:5hoxindact;biggM:M_5hoxindact;chebi:20583;chebi:2070;hmdb:HMDB0004073;hmdb:HMDB04073;kegg.compound:C05634;keggC:C05634;keggC:M_C05634;metacyc.compound:5-HYDROXYINDOLE_ACETALDEHYDE;metacycM:5-HYDROXYINDOLE_ACETALDEHYDE;reactome:R-ALL-380598;reactome:R-ALL-500604;reactomeM:R-ALL-380598;reactomeM:R-ALL-500604;sabiork.compound:8021;sabiorkM:8021;seed.compound:cpd03345;seedM:M_cpd03345;seedM:cpd03345
MNXM10684	alpha-tocotrienol	M_avite2_c;M_avite2_e	C29H44O2	424.65846	0	chebi:33270;CHEBI:33270;bigg.metabolite:avite2;biggM:M_avite2;biggM:avite2;chebi:35062;hmdb:HMDB0006327;hmdb:HMDB06327;kegg.compound:C14153;keggC:C14153;keggC:M_C14153;lipidmaps:LMPR02020054;lipidmapsM:LMPR02020054;metacyc.compound:CPD-15836;metacycM:CPD-15836;seed.compound:cpd09852;seedM:M_cpd09852;seedM:cpd09852
MNXM107	nitrite	M_no2_c;M_no2_e	NO2	46.00554	-1	chebi:16301;CHEBI:16301;CHEBI:25567;bigg.metabolite:no2;biggM:M_no2;biggM:no2;chebi:14658;chebi:25567;chebi:44396;chebi:7585;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/84af9b8c-5f58-4093-85cb-964ba8ed40b7;envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/84af9b8c-5f58-4093-85cb-964ba8ed40b7;hmdb:HMDB0002786;hmdb:HMDB02786;kegg.compound:C00088;keggC:C00088;keggC:M_C00088;metacyc.compound:NITRITE;metacycM:NITRITE;reactome:R-ALL-1222379;reactome:R-ALL-3697842;reactomeM:R-ALL-1222379;reactomeM:R-ALL-3697842;sabiork.compound:3058;sabiorkM:3058;seed.compound:cpd00075;seedM:M_cpd00075;seedM:cpd00075
MNXM10720	antipyrine	M_antipyrene_c;M_antipyrene_e	C11H12N2O	188.22586	0	chebi:31225;CHEBI:31225;bigg.metabolite:antipyrene;biggM:M_antipyrene;biggM:antipyrene;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/fbaff7a8-d203-42f0-8407-12eb4859669e;envipathM:650babc9-9d68-4b73-9332-11972ca26f7b/compound/fbaff7a8-d203-42f0-8407-12eb4859669e;hmdb:HMDB0015503;hmdb:HMDB15503;kegg.compound:C13244;kegg.drug:D01776;keggC:C13244;keggC:M_C13244;keggD:D01776;keggD:M_D01776;seed.compound:cpd19134;seedM:M_cpd19134;seedM:cpd19134
MNXM107333	O-adipoylcarnitine	M_c6dc_c;M_c6dc_e;M_c6dc_x	C13H22NO6	288.31692	-1	chebi:68568;CHEBI:68568;CHEBI:77082;SLM:000000870;bigg.metabolite:c6dc;biggM:M_c6dc;biggM:c6dc;chebi:77082;hmdb:HMDB0061677;hmdb:HMDB61677;lipidmaps:LMFA07070087;lipidmapsM:LMFA07070087;slm:000000870
MNXM107386	N-(9Z-octadecenoyl) ethanolamine	M_oleth_e	C20H39NO2	325.5292	0	chebi:71466;CHEBI:71466;SLM:000000147;bigg.metabolite:oleth;biggM:M_oleth;biggM:oleth;chebi:77362;hmdb:HMDB0002088;hmdb:HMDB02088;kegg.compound:C20792;keggC:C20792;keggC:M_C20792;lipidmaps:LMFA08040015;lipidmapsM:LMFA08040015;metacyc.compound:CPD-20398;metacycM:CPD-20398;reactome:R-ALL-400552;reactomeM:R-ALL-400552;seed.compound:cpd31351;seedM:M_cpd31351;seedM:cpd31351;slm:000000147
MNXM107548	N-hexadecanoylethanolamine	M_hexdeceeth_e;M_pmeth_e	C18H37NO2	299.49192	0	chebi:71464;CHEBI:71464;SLM:000000149;bigg.metabolite:hexdeceeth;bigg.metabolite:pmeth;biggM:M_hexdeceeth;biggM:M_pmeth;biggM:hexdeceeth;biggM:pmeth;hmdb:HMDB0002100;hmdb:HMDB02100;kegg.compound:C16512;kegg.drug:D08328;keggC:C16512;keggC:M_C16512;keggD:D08328;keggD:M_D08328;lipidmaps:LMFA08040013;lipidmapsM:LMFA08040013;metacyc.compound:CPD-20399;metacycM:CPD-20399;sabiork.compound:31247;sabiorkM:31247;seed.compound:cpd16300;seedM:M_cpd16300;seedM:cpd16300;slm:000000149
MNXM108	hexadecanoate	M_hdca_c;M_hdca_e;M_hdca_l;M_hdca_r;M_hdca_x	C16H31O2	255.41614	-1	chebi:7896;CHEBI:15756;CHEBI:7896;SLM:000000510;bigg.metabolite:hdca;biggM:M_hdca;biggM:hdca;chebi:14730;chebi:15756;chebi:231736;chebi:233028;chebi:24540;chebi:24541;chebi:24542;chebi:24550;chebi:29889;chebi:35978;chebi:44952;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/dc7314a1-8e9a-410f-be4f-f7d8bf32b1cb;envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/dc7314a1-8e9a-410f-be4f-f7d8bf32b1cb;hmdb:HMDB0000220;hmdb:HMDB00220;hmdb:HMDB0060083;hmdb:HMDB60083;kegg.compound:C00249;kegg.drug:D05341;keggC:C00249;keggC:M_C00249;keggD:D05341;keggD:M_D05341;lipidmaps:LMFA01010001;lipidmapsM:LMFA01010001;metacyc.compound:PALMITATE;metacycM:PALMITATE;reactome:R-ALL-2453691;reactome:R-ALL-3632881;reactome:R-ALL-390435;reactome:R-ALL-400150;reactome:R-ALL-400452;reactome:R-ALL-426576;reactome:R-ALL-76168;reactomeM:R-ALL-2453691;reactomeM:R-ALL-3632881;reactomeM:R-ALL-390435;reactomeM:R-ALL-400150;reactomeM:R-ALL-400452;reactomeM:R-ALL-426576;reactomeM:R-ALL-76168;sabiork.compound:1990;sabiorkM:1990;seed.compound:cpd00214;seedM:M_cpd00214;seedM:cpd00214;slm:000000510
MNXM1089002	1-Phosphatidyl-1D-Myo-Inositol 5-Phosphate	M_CE5101_m	C11H15O16P2*	465.174722	-3	biggM:CE5101;bigg.metabolite:CE5101;biggM:M_CE5101
MNXM1089003	Phosphatidate-Ld-Pc-Pool	M_HC02050_c	C5H5O8P*	224.062161	-2	biggM:HC02050;bigg.metabolite:HC02050;biggM:M_HC02050
MNXM1089004	Phosphatidate-Ld-Pe-Pool	M_HC02051_c	C5H5O8P*	224.062161	-2	biggM:HC02051;bigg.metabolite:HC02051;biggM:M_HC02051
MNXM1089005	Phosphatidate-Ld-Sm-Pool	M_HC02054_c	C5H5O8P*	224.062161	-2	biggM:HC02054;bigg.metabolite:HC02054;biggM:M_HC02054
MNXM1089006	1,2-Diacylglycerol-Ld-Pc-Pool	M_HC02056_c	C5H6O5*	146.09814	0	biggM:HC02056;bigg.metabolite:HC02056;biggM:M_HC02056
MNXM1089007	1,2-Diacylglycerol-Ld-Pe-Pool	M_HC02057_c;M_HC02057_r	C5H6O5*	146.09814	0	biggM:HC02057;bigg.metabolite:HC02057;biggM:M_HC02057
MNXM1089008	1,2-Diacylglycerol-Ld-Sm-Pool	M_HC02060_c	C5H6O5*	146.09814	0	biggM:HC02060;bigg.metabolite:HC02060;biggM:M_HC02060
MNXM1089009	Fatty-Acid-Ld-Sm-Pool	M_HC02070_c	CHO2*	45.01744	0	biggM:HC02070;bigg.metabolite:HC02070;biggM:M_HC02070
MNXM1089010	1-Acylglycerol-Ld-Sm-Pool	M_HC02076_c	C4H7O4*	119.09598	0	biggM:HC02076;bigg.metabolite:HC02076;biggM:M_HC02076
MNXM1089011	Protein N6-Methyl-L-Lysine	M_M00213_c	C8H16N3O2*	186.23166	1	biggM:M00213;bigg.metabolite:M00213;biggM:M_M00213
MNXM1089012	1,2-Diacylglycerol-Chylomicron-Pool	M_M00234_e	C5H6O5*	146.09814	0	biggM:M00234;bigg.metabolite:M00234;biggM:M_M00234
MNXM1089013	Monoacylglycerol-Chylomicron-Pool	M_M00503_e	C4H7O4*	119.09598	0	biggM:M00503;bigg.metabolite:M00503;biggM:M_M00503
MNXM1089014	1-Acylglycerol-VLDL-Pool	M_M00510_e	C4H7O4*	119.09598	0	biggM:M00510;bigg.metabolite:M00510;biggM:M_M00510
MNXM1089015	Fatty-Acid-VLDL-Pool	M_M01820_e	CHO2*	45.01744	0	biggM:M01820;bigg.metabolite:M01820;biggM:M_M01820
MNXM1089016	Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer	M_M02195_c	C51H89N2O27*	1162.24964	0	biggM:M02195;bigg.metabolite:M02195;biggM:M_M02195
MNXM1089017	Paragloboside	M_M02683_c	C45H79N2O23*	1016.10844	0	biggM:M02683;bigg.metabolite:M02683;biggM:M_M02683
MNXM1089018	Pe-Nme-Ld-Pool	M_M02686_c	C8H14NO8P*	283.172461	0	biggM:M02686;bigg.metabolite:M02686;biggM:M_M02686
MNXM1089019	Phosphatidyl-N-Dimethylethanolamine	M_M02758_c	C9H16NO8P*	297.199041	0	biggM:M02758;bigg.metabolite:M02758;biggM:M_M02758
MNXM1089020	Tags-Chylomicron-Pool	M_M02956_e	C6H5O6*	173.1003	0	biggM:M02956;bigg.metabolite:M02956;biggM:M_M02956
MNXM1091589	12-Dehydrocholic acid	M_12dhchol_c;M_12dhchol_e				biggM:12dhchol;bigg.metabolite:12dhchol;biggM:M_12dhchol
MNXM1091678	1-hydroxy S-ibuprofen	M_1hibup__S_c;M_1hibup__S_e;M_1hibup__S_r				biggM:1hibup__S;bigg.metabolite:1hibup__S;biggM:M_1hibup__S
MNXM1091679	1-hydroxy S-ibuprofen-glucuronide	M_1hibupglu__S_c;M_1hibupglu__S_e;M_1hibupglu__S_r				biggM:1hibupglu__S;bigg.metabolite:1hibupglu__S;biggM:M_1hibupglu__S
MNXM1091702	2-hydroxy-R-ibuprofen	M_2hibup__R_c;M_2hibup__R_e;M_2hibup__R_r				biggM:2hibup__R;bigg.metabolite:2hibup__R;biggM:M_2hibup__R
MNXM1091703	2-hydroxy-S-ibuprofen	M_2hibup__S_c;M_2hibup__S_e;M_2hibup__S_r				biggM:2hibup__S;bigg.metabolite:2hibup__S;biggM:M_2hibup__S
MNXM1091704	2-hydroxy S-ibuprofen-glucuronide	M_2hibupglu__S_c;M_2hibupglu__S_e;M_2hibupglu__S_r				biggM:2hibupglu__S;bigg.metabolite:2hibupglu__S;biggM:M_2hibupglu__S
MNXM1091725	2-oxoglutaramate	M_HC00591_c;M_HC00591_m	C5H6NO4	144.10548	-1	chebi:16769;CHEBI:16769;CHEBI:30882;bigg.metabolite:2ogm;bigg.metabolite:HC00591;biggM:2ogm;biggM:HC00591;biggM:M_2ogm;biggM:M_HC00591;chebi:11637;chebi:1252;chebi:19746;chebi:19747;chebi:30882;hmdb:HMDB0001552;hmdb:HMDB01552;kegg.compound:C00940;keggC:C00940;keggC:M_C00940;metacyc.compound:2-KETO-GLUTARAMATE;metacycM:2-KETO-GLUTARAMATE;reactome:R-ALL-893598;reactomeM:R-ALL-893598;sabiork.compound:2193;sabiorkM:2193;seed.compound:cpd00695;seedM:M_cpd00695;seedM:cpd00695
MNXM1091750	3-Dehydrochenodeoxychollyc acid	M_3dhcdchol_c;M_3dhcdchol_e				biggM:3dhcdchol;bigg.metabolite:3dhcdchol;biggM:M_3dhcdchol
MNXM1091751	3-Dehydrocholic acid	M_3dhchol_c;M_3dhchol_e				biggM:3dhchol;bigg.metabolite:3dhchol;biggM:M_3dhchol
MNXM1091752	3-dehydro-Deoxycholate	M_3dhdchol_c;M_3dhdchol_e				biggM:3dhdchol;bigg.metabolite:3dhdchol;biggM:M_3dhdchol
MNXM1091753	3-dehydro-Lithocholate	M_3dhlchol_c;M_3dhlchol_e				biggM:3dhlchol;bigg.metabolite:3dhlchol;biggM:M_3dhlchol
MNXM1091803	3-hydroxy R-ibuprofen	M_3hibup__R_c;M_3hibup__R_e;M_3hibup__R_r				biggM:3hibup__R;bigg.metabolite:3hibup__R;biggM:M_3hibup__R
MNXM1091804	3-hydroxy S-ibuprofen	M_3hibup__S_c;M_3hibup__S_e;M_3hibup__S_r				biggM:3hibup__S;bigg.metabolite:3hibup__S;biggM:M_3hibup__S
MNXM1091805	3-hydroxy S-ibuprofen-glucuronide	M_3hibupglu__S_c;M_3hibupglu__S_e;M_3hibupglu__S_r				biggM:3hibupglu__S;bigg.metabolite:3hibupglu__S;biggM:M_3hibupglu__S
MNXM1091807	3''-hydroxy-lovastatin acid form	M_3hlvstacid_c;M_3hlvstacid_e				biggM:3hlvstacid;bigg.metabolite:3hlvstacid;biggM:M_3hlvstacid
MNXM1091832	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative	M_3hpppnoh_c				biggM:3hpppnoh;bigg.metabolite:3hpppnoh;biggM:M_3hpppnoh
MNXM1091833	3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide	M_3hpppnohgluc_c;M_3hpppnohgluc_e				biggM:3hpppnohgluc;bigg.metabolite:3hpppnohgluc;biggM:M_3hpppnohgluc
MNXM1091850	3-alpha-iso-pravastatin	M_3ispvs_c;M_3ispvs_e;M_3ispvs_r				biggM:3ispvs;bigg.metabolite:3ispvs;biggM:M_3ispvs
MNXM1091856	3-methoxy-acetaminophen	M_3meacmp_c;M_3meacmp_r				biggM:3meacmp;bigg.metabolite:3meacmp;biggM:M_3meacmp
MNXM1091879	3-hydroxy-acetaminophen	M_3ohacmp_c;M_3ohacmp_e;M_3ohacmp_r				biggM:3ohacmp;bigg.metabolite:3ohacmp;biggM:M_3ohacmp
MNXM1091937	3-Hydroxy Tetradecenoyl-7-Carnitine	M_3tetd7ecoacrn_c;M_3tetd7ecoacrn_e				biggM:3tetd7ecoacrn;bigg.metabolite:3tetd7ecoacrn;biggM:M_3tetd7ecoacrn
MNXM1091938	3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine	M_3thexddcoacrn_c;M_3thexddcoacrn_e				biggM:3thexddcoacrn;bigg.metabolite:3thexddcoacrn;biggM:M_3thexddcoacrn
MNXM1091939	3-Hydroxy Trans5,8Tetradecadienoyl Carnitine	M_3ttetddcoacrn_c;M_3ttetddcoacrn_e				biggM:3ttetddcoacrn;bigg.metabolite:3ttetddcoacrn;biggM:M_3ttetddcoacrn
MNXM1091979	3-keto-5,6,-dihydroxy-pravastatin	M_56dhpvs_c;M_56dhpvs_e;M_56dhpvs_r				biggM:56dhpvs;bigg.metabolite:56dhpvs;biggM:M_56dhpvs
MNXM1091982	5-formyltetrahydrofolate	M_5fthf_c;M_5fthf_e;M_5fthf_m	C20H21N7O7	471.42372	-2	chebi:57457;CHEBI:57457;CHEBI:63606;bigg.metabolite:5fothf;bigg.metabolite:5fthf;biggM:5fothf;biggM:5fthf;biggM:M_5fothf;biggM:M_5fthf;chebi:63606;hmdb:HMDB0001562;hmdb:HMDB0006206;hmdb:HMDB0062757;hmdb:HMDB01562;hmdb:HMDB06206;hmdb:HMDB62757;kegg.compound:C03479;kegg.drug:D07986;keggC:C03479;keggC:M_C03479;keggD:D07986;keggD:M_D07986;metacyc.compound:5-FORMYL-THF;metacycM:5-FORMYL-THF;sabiork.compound:6654;sabiorkM:6654;seed.compound:cpd02197;seedM:M_cpd02197;seedM:cpd02197
MNXM1091993	6-alpha-OH-gliclazide	M_6ahglz_c;M_6ahglz_e;M_6ahglz_r				biggM:6ahglz;bigg.metabolite:6ahglz;biggM:M_6ahglz
MNXM1091998	6-epipravastatin	M_6epvs_c;M_6epvs_e				biggM:6epvs;bigg.metabolite:6epvs;biggM:M_6epvs
MNXM1092008	7-alpha-OH-gliclazide	M_7ahglz_c;M_7ahglz_e;M_7ahglz_r				biggM:7ahglz;bigg.metabolite:7ahglz;biggM:M_7ahglz
